open,high,low,close,vol,divs,stock_splits
3922.5,3933.5,3880.0,3912.5,332223,0.0,0.0
3916.5,3941.0,3913.0,3922.5,215286,0.0,0.0
3919.0,3927.5,3859.25,3876.0,380375,0.0,0.0
3870.5,3935.75,3854.0,3930.25,291934,0.0,0.0
3929.5,3934.25,3909.75,3925.75,219804,0.0,0.0
3924.5,3959.5,3923.75,3950.5,198837,0.0,0.0
3944.75,3983.25,3944.25,3975.5,209511,0.0,0.0
3978.0,3991.25,3963.5,3971.75,209687,0.0,0.0
3962.75,3965.5,3937.5,3955.5,210231,0.0,0.0
3954.0,3970.25,3929.0,3960.0,210316,0.0,0.0
3958.5,3977.5,3948.5,3952.25,219908,0.0,0.0
3957.25,3983.0,3953.25,3968.5,275028,0.0,0.0
3968.75,3970.25,3881.75,3884.75,423444,0.0,0.0
3890.5,3901.25,3847.5,3873.25,462507,0.0,0.0
3873.0,3915.75,3867.25,3896.75,250762,0.0,0.0
3894.75,3900.25,3851.75,3871.75,356543,0.0,0.0
3874.5,3891.25,3842.0,3868.75,292468,0.0,0.0
3869.25,3892.5,3840.75,3856.75,329596,0.0,0.0
3855.5,3886.75,3826.5,3873.5,315422,0.0,0.0
3874.0,3917.75,3873.75,3905.0,178453,0.0,0.0
3907.5,3917.25,3883.25,3903.5,220589,0.0,0.0
3906.0,3949.5,3902.25,3945.75,201984,0.0,0.0
3946.5,3974.75,3939.5,3968.0,176296,0.0,0.0
3973.0,3994.5,3947.25,3985.0,362617,0.0,0.0
3991.0,4019.5,3991.0,4013.25,159348,0.0,0.0
4017.0,4040.5,4015.75,4034.25,151276,0.0,0.0
4036.5,4046.5,4028.75,4039.5,163157,0.0,0.0
4039.75,4049.0,4032.75,4047.5,145148,0.0,0.0
4047.75,4061.0,4036.5,4054.75,211674,0.0,0.0
4057.5,4078.5,4056.75,4063.5,168702,0.0,0.0
4064.25,4075.75,4061.75,4072.25,147208,0.0,0.0
4073.5,4077.0,4063.5,4072.75,128378,0.0,0.0
4071.5,4076.25,4054.5,4069.75,166452,0.0,0.0
4075.5,4086.0,4062.0,4082.0,167836,0.0,0.0
4078.75,4096.0,4076.0,4092.0,195212,0.0,0.0
4092.75,4113.75,4062.5,4071.75,265476,0.0,0.0
4071.75,4101.0,4056.25,4069.25,276115,0.0,0.0
4072.25,4091.5,4052.0,4086.5,283624,0.0,0.0
4086.5,4105.0,4075.5,4093.0,207652,0.0,0.0
4092.5,4110.5,4053.25,4066.0,386107,0.0,0.0
4065.5,4096.25,4054.75,4093.0,257236,0.0,0.0
4093.0,4097.0,4060.0,4091.0,307246,0.0,0.0
4096.5,4096.5,4056.75,4069.75,184358,0.0,0.0
4057.5,4076.25,4018.25,4033.5,150018,0.0,0.0
4034.75,4074.0,4012.0,4066.0,124805,0.0,0.0
4065.25,4091.0,4047.25,4072.5,68884,0.0,0.0
4077.0,4106.75,4069.0,4103.75,33223,0.0,0.0
4104.75,4127.75,4102.75,4118.5,279619,0.0,0.0
4091.75,4092.0,4035.75,4052.75,295630,0.0,0.0
4044.5,4061.0,4027.5,4037.0,276929,0.0,0.0
4031.75,4090.0,4031.0,4087.75,278357,0.0,0.0
4085.25,4088.5,3998.25,4007.5,442898,0.0,0.0
4005.0,4050.5,4001.75,4045.75,309995,0.0,0.0
4045.75,4051.25,3998.0,4035.5,350305,0.0,0.0
4033.75,4064.75,4024.25,4044.75,334467,0.0,0.0
4036.25,4046.0,3965.5,3982.5,435753,0.0,0.0
3981.5,3995.0,3927.75,3978.0,439789,0.0,0.0
3974.5,4034.75,3970.5,4016.0,286084,0.0,0.0
4017.75,4040.5,3996.25,4007.0,338251,0.0,0.0
4001.5,4010.25,3948.0,3956.25,383802,0.0,0.0
3953.5,4041.75,3930.75,4030.5,466944,0.0,0.0
4029.0,4047.75,3947.0,3970.25,595699,0.0,0.0
3948.0,3967.0,3851.0,3853.0,675542,0.0,0.0
3848.5,3885.75,3792.5,3798.5,636045,0.0,0.0
3798.0,3852.75,3793.0,3811.75,602322,0.0,0.0
3823.75,3831.5,3691.25,3752.0,831107,0.0,0.0
3751.0,3786.5,3684.0,3741.5,695840,0.0,0.0
3748.0,3840.5,3742.0,3804.0,477901,0.0,0.0
3811.75,3883.0,3793.25,3866.0,315481,0.0,0.0
3880.25,3976.0,3846.0,3971.5,382276,0.0,0.0
3970.5,3983.0,3939.5,3949.25,343470,0.0,0.0
3947.0,4024.75,3939.5,4005.25,348130,0.0,0.0
3995.75,4038.5,3970.5,4034.75,288628,0.0,0.0
4035.75,4049.75,4009.5,4038.25,275993,0.0,0.0
4041.0,4099.75,4037.75,4094.0,258879,0.0,0.0
4080.75,4096.25,4054.75,4072.25,340712,0.0,0.0
4072.25,4102.5,4043.0,4089.5,366986,0.0,0.0
4091.5,4163.5,4089.75,4150.5,313263,0.0,0.0
4150.25,4173.75,4142.0,4157.25,215040,0.0,0.0
4157.5,4164.25,4119.75,4143.5,259945,0.0,0.0
4144.75,4176.25,4133.75,4142.5,270149,0.0,0.0
4144.25,4167.0,4130.25,4162.75,233284,0.0,0.0
4164.5,4179.75,4136.0,4150.75,229702,0.0,0.0
4152.75,4178.5,4144.0,4170.25,164939,0.0,0.0
4170.5,4186.25,4162.0,4183.25,134501,0.0,0.0
4183.25,4198.75,4166.5,4196.0,202720,0.0,0.0
4193.5,4227.0,4191.5,4205.0,295015,0.0,0.0
4203.25,4225.75,4195.75,4222.0,218493,0.0,0.0
4223.25,4224.5,4191.5,4212.25,230967,0.0,0.0
4213.25,4248.75,4203.0,4238.0,213476,0.0,0.0
4238.25,4242.5,4204.25,4223.75,235757,0.0,0.0
4223.75,4248.25,4201.75,4245.0,214465,0.0,0.0
4245.5,4284.5,4237.5,4249.25,285753,0.0,0.0
4249.75,4286.75,4248.0,4282.0,158380,0.0,0.0
4282.0,4303.25,4276.75,4292.5,169153,0.0,0.0
4294.0,4323.75,4290.5,4317.75,135750,0.0,0.0
4323.5,4348.0,4312.5,4338.25,134101,0.0,0.0
4330.75,4335.5,4273.5,4286.5,324373,0.0,0.0
4287.0,4314.75,4285.0,4305.5,226496,0.0,0.0
4308.0,4320.0,4287.5,4310.5,190809,0.0,0.0
4312.0,4328.5,4293.25,4313.5,248733,0.0,0.0
4313.0,4326.75,4302.75,4313.25,199234,0.0,0.0
4314.25,4320.25,4259.0,4279.0,320418,0.0,0.0
4282.75,4298.5,4216.75,4290.75,339492,0.0,0.0
4290.75,4298.25,4219.0,4227.0,382192,0.0,0.0
4228.25,4298.0,4220.25,4236.5,422615,0.0,0.0
4233.0,4254.75,4188.0,4189.5,245579,0.0,0.0
4189.5,4237.75,4144.75,4163.75,225299,0.0,0.0
4164.0,4192.75,4084.25,4086.5,186208,0.0,0.0
4090.75,4176.0,4085.0,4162.75,84867,0.0,0.0
4164.5,4274.75,4154.0,4265.0,60276,0.0,0.0
4268.0,4307.0,4261.0,4261.0,290155,0.0,0.0
4282.0,4301.25,4276.0,4291.75,164830,0.0,0.0
4292.75,4312.0,4274.75,4278.0,148403,0.0,0.0
4278.0,4298.5,4276.5,4282.5,46180,0.0,0.0
4282.0,4322.0,4282.0,4310.25,61111,0.0,0.0
4315.0,4320.75,4298.25,4311.0,102425,0.0,0.0
4316.25,4318.0,4273.75,4282.75,110089,0.0,0.0
4283.0,4305.0,4228.0,4232.75,146914,0.0,0.0
4240.25,4272.75,4201.0,4214.25,229555,0.0,0.0
4216.0,4220.75,4145.0,4161.75,313771,0.0,0.0
4166.5,4172.5,4082.0,4102.25,426154,0.0,0.0
4105.5,4163.25,4102.75,4151.5,328184,0.0,0.0
4152.25,4242.75,4152.25,4232.25,272056,0.0,0.0
4232.25,4252.5,4181.0,4200.75,341966,0.0,0.0
4201.25,4227.5,4151.0,4166.5,319438,0.0,0.0
4169.5,4247.75,4126.75,4158.5,476645,0.0,0.0
4158.0,4169.25,4100.5,4145.5,450812,0.0,0.0
4147.5,4190.0,4066.0,4089.0,456035,0.0,0.0
4072.5,4138.5,4041.5,4134.0,359021,0.0,0.0
4138.75,4175.25,4109.0,4167.0,347445,0.0,0.0
4166.0,4205.25,4137.0,4182.75,327200,0.0,0.0
4183.75,4269.0,4164.5,4264.75,338354,0.0,0.0
4265.5,4286.25,4250.25,4267.0,227200,0.0,0.0
4249.5,4278.25,4231.5,4269.25,187612,0.0,0.0
4266.75,4271.0,4142.75,4177.5,363818,0.0,0.0
4206.0,4234.5,4119.5,4124.25,363115,0.0,0.0
4125.0,4199.75,4095.75,4185.75,358572,0.0,0.0
4203.5,4208.0,4136.0,4141.25,345604,0.0,0.0
4143.5,4188.0,4085.5,4185.5,353848,0.0,0.0
4180.75,4222.75,4165.75,4216.25,283374,0.0,0.0
4207.75,4243.0,4187.5,4204.0,269497,0.0,0.0
4191.0,4254.75,4181.5,4247.5,200569,0.0,0.0
4251.0,4268.25,4209.75,4227.5,253335,0.0,0.0
4226.5,4232.0,4201.5,4214.25,198223,0.0,0.0
4219.0,4284.0,4211.0,4276.0,225792,0.0,0.0
4278.25,4322.0,4271.0,4296.5,207031,0.0,0.0
4308.5,4346.5,4285.75,4344.75,219353,0.0,0.0
4342.75,4382.0,4340.75,4377.0,190386,0.0,0.0
4373.5,4388.5,4364.5,4381.75,194620,0.0,0.0
4384.5,4393.5,4373.75,4386.0,146465,0.0,0.0
4390.25,4417.25,4376.0,4413.25,168236,0.0,0.0
4416.25,4445.0,4396.0,4438.0,235154,0.0,0.0
4439.75,4449.25,4429.75,4444.5,133132,0.0,0.0
4445.25,4455.75,4427.0,4450.25,163047,0.0,0.0
4449.25,4461.0,4429.25,4436.75,173941,0.0,0.0
4438.5,4464.75,4431.0,4461.75,193611,0.0,0.0
4460.5,4462.75,4435.0,4442.5,173304,0.0,0.0
4447.0,4483.25,4446.25,4477.0,185330,0.0,0.0
4479.0,4479.0,4432.5,4456.5,198589,0.0,0.0
4458.25,4458.25,4419.25,4444.25,210995,0.0,0.0
4444.25,4464.75,4432.75,4449.5,185176,0.0,0.0
4451.5,4460.5,4389.25,4405.0,296605,0.0,0.0
4411.75,4424.75,4391.75,4413.5,217756,0.0,0.0
4415.25,4415.75,4328.5,4331.25,313249,0.0,0.0
4334.25,4347.5,4304.25,4307.5,260964,0.0,0.0
4312.5,4339.5,4298.75,4330.75,269241,0.0,0.0
