Date,eurusd,jpyusd,gbpusd,nq,sp500,nikkei,ftse
2006-01-27,1.2093945741653442,0.008517887443304062,1.7676901817321777,1722.5,1283.719970703125,16460.6796875,5786.7998046875
2006-01-30,1.208605170249939,0.008501955308020115,1.7670965194702148,1723.5,1285.18994140625,16551.23046875,5779.7998046875
2006-01-31,1.2148454189300537,0.008524422533810139,1.7785998582839966,1719.5,1280.0799560546875,16649.8203125,5760.2998046875
2006-02-01,1.2066947221755981,0.00847673136740923,1.7749063968658447,1723.5,1282.4599609375,16480.08984375,5801.60009765625
2006-02-02,1.208400845527649,0.008437750861048698,1.7785998582839966,1689.0,1270.8399658203125,16710.55078125,5747.2998046875
2006-02-03,1.2027037143707275,0.008411136455833912,1.7627047300338745,1667.5,1264.030029296875,16659.640625,5759.2998046875
2006-02-06,1.196300983428955,0.008398421108722687,1.7470910549163818,1669.5,1265.02001953125,16747.759765625,5772.39990234375
2006-02-07,1.1992995738983154,0.008494011126458645,1.7466028928756714,1662.5,1254.780029296875,16720.990234375,5746.7998046875
2006-02-08,1.19650137424469,0.008439530618488789,1.7413108348846436,1675.5,1265.6500244140625,16272.6796875,5725.10009765625
2006-02-09,1.1994003057479858,0.008423889987170696,1.7455966472625732,1659.0,1263.780029296875,16439.669921875,5808.7998046875
2006-02-10,1.19070303440094,0.008486802689731121,1.7445918321609497,1666.5,1266.989990234375,16257.830078125,5764.10009765625
2006-02-13,1.1911994218826294,0.008508466184139252,1.743101716041565,1653.0,1262.8599853515625,15877.66015625,5793.5
2006-02-14,1.1915968656539917,0.008503401651978493,1.7361111640930176,1666.0,1275.530029296875,16184.8701171875,5792.2998046875
2006-02-15,1.1885942220687866,0.008478887379169464,1.740310788154602,1679.5,1280.0,15932.830078125,5791.5
2006-02-16,1.19070303440094,0.008513536304235458,1.739493489265442,1695.5,1289.3800048828125,16043.669921875,5828.89990234375
2006-02-17,1.1942009925842285,0.00846453383564949,1.742585301399231,1677.5,1287.239990234375,15713.4501953125,5846.2001953125
2006-02-20,1.193402886390686,0.008448800072073936,1.7448962926864624,1677.5,1287.239990234375,15437.9296875,5863.0
2006-02-21,1.191994547843933,0.008418571203947067,1.7459014654159546,1661.0,1283.030029296875,15894.9404296875,5857.7001953125
2006-02-22,1.1915968656539917,0.008445232175290585,1.7440136671066284,1679.5,1292.6700439453125,15781.7802734375,5872.39990234375
2006-02-23,1.1921935081481934,0.008541897870600224,1.752203345298767,1675.5,1287.7900390625,16096.099609375,5836.0
2006-02-24,1.1878036260604858,0.008558712899684906,1.7445003986358643,1683.5,1289.4300537109375,16101.91015625,5860.5
