Date,eurusd,jpyusd,gbpusd
2010-01-26,1.4082324504852295,0.011156979016959667,1.614700198173523
2010-01-27,1.4030951261520386,0.011117287911474705,1.6178088188171387
2010-01-28,1.3968042135238647,0.011138586327433586,1.614309310913086
2010-01-29,1.3866932392120361,0.011077878065407276,1.5984909534454346
2010-02-01,1.3926994800567627,0.011018069460988045,1.595252513885498
2010-02-02,1.3976240158081055,0.011058521457016468,1.599206805229187
2010-02-03,1.3901052474975586,0.0110083669424057,1.5920017957687378
2010-02-04,1.3744947910308838,0.011184430681169033,1.5769885778427124
2010-02-05,1.368007779121399,0.011208249256014824,1.565802812576294
2010-02-08,1.3654673099517822,0.011208249256014824,1.5576082468032837
2010-02-09,1.378207802772522,0.011139827780425549,1.5693906545639038
2010-02-10,1.3753266334533691,0.011119759641587734,1.5612071752548218
2010-02-11,1.3681762218475342,0.01113461796194315,1.5702037811279297
2010-02-12,1.363493800163269,0.011117287911474705,1.5698094367980957
2010-02-15,1.3603036403656006,0.011104941368103027,1.5667105913162231
2010-02-16,1.3767088651657104,0.011081068776547909,1.579005479812622
2010-02-17,1.3606922626495361,0.010982976295053959,1.5682092905044556
2010-02-18,1.3461486101150513,0.010872283950448036,1.5423054695129395
2010-02-19,1.3615074157714844,0.010924185626208782,1.5464078187942505
2010-02-22,1.3605626821517944,0.010960705578327179,1.548658847808838
2010-02-23,1.3527040481567383,0.011091392487287521,1.5445923805236816
2010-02-24,1.354316234588623,0.011076773516833782,1.5417109727859497
2010-02-25,1.3536012172698975,0.011201972141861916,1.5243902206420898
2010-02-26,1.3631035089492798,0.011245938017964363,1.523902416229248
2010-03-01,1.356208086013794,0.011217049323022366,1.4978805780410767
2010-03-02,1.3620638847351074,0.011268875561654568,1.5028102397918701
2010-03-03,1.3701633214950562,0.011290504597127438,1.5103002786636353
2010-03-04,1.3584003448486328,0.01121579110622406,1.50360107421875
2010-03-05,1.3628991842269897,0.011084016412496567,1.5132943391799927
2010-03-08,1.3616927862167358,0.011075913906097412,1.504189133644104
2010-03-09,1.3606922626495361,0.011112469248473644,1.5016368627548218
2010-03-10,1.3643310070037842,0.011053388006985188,1.4970060586929321
2010-03-11,1.3685319423675537,0.0110316826030612,1.507204532623291
2010-03-12,1.376993179321289,0.011044842191040516,1.5216069221496582
2010-03-15,1.3677457571029663,0.011071745306253433,1.505434513092041
2010-03-16,1.3768794536590576,0.01107542309910059,1.5236934423446655
2010-03-17,1.3738338947296143,0.011061579920351505,1.5317922830581665
2010-03-18,1.361396312713623,0.011052166111767292,1.5253669023513794
2010-03-19,1.353692889213562,0.011047283187508583,1.5017945766448975
2010-03-22,1.356704831123352,0.011069294065237045,1.5108022689819336
2010-03-23,1.3468012809753418,0.01106610894203186,1.5021330118179321
2010-03-24,1.3331022262573242,0.010867911390960217,1.4898910522460938
2010-03-25,1.3307074308395386,0.010809291154146194,1.4844944477081299
2010-03-26,1.3410038948059082,0.01080999244004488,1.4898022413253784
2010-03-29,1.3481086492538452,0.01081197988241911,1.498194694519043
2010-03-30,1.3424079418182373,0.01077354047447443,1.5074089765548706
2010-03-31,1.3508037328720093,0.0106929000467062,1.5183724164962769
2010-04-01,1.3584003448486328,0.010655301623046398,1.5291922092437744
2010-04-02,1.3504936695098877,0.01057865284383297,1.5210051536560059
2010-04-05,1.34890878200531,0.01060108095407486,1.5298004150390625
2010-04-06,1.3401951789855957,0.010661662556231022,1.5270905494689941
2010-04-07,1.3348461389541626,0.010717079974710941,1.5242043733596802
2010-04-08,1.336112380027771,0.010704346001148224,1.5283042192459106
2010-04-09,1.3500925302505493,0.010734220035374165,1.536995530128479
2010-04-12,1.3596007823944092,0.010731571353971958,1.5373972654342651
2010-04-13,1.3608589172363281,0.01073191687464714,1.5377753973007202
2010-04-14,1.3655978441238403,0.010716046206653118,1.5472211837768555
2010-04-15,1.3574045896530151,0.010748065076768398,1.54655122756958
2010-04-16,1.3504024744033813,0.010851872153580189,1.536405086517334
2010-04-19,1.348726749420166,0.010815488174557686,1.533530592918396
2010-04-20,1.343508243560791,0.010732953436672688,1.5363816022872925
2010-04-21,1.3389928340911865,0.010746448300778866,1.5413308143615723
2010-04-22,1.3269991874694824,0.010706867091357708,1.5373972654342651
2010-04-23,1.338401436805725,0.01064395997673273,1.5382012128829956
2010-04-26,1.3401232957839966,0.010649627074599266,1.5467904806137085
2010-04-27,1.3170719146728516,0.010736064985394478,1.5247621536254883
2010-04-28,1.321283221244812,0.010642826557159424,1.520426869392395
2010-04-29,1.3262951374053955,0.010636826977133751,1.5356029272079468
2010-04-30,1.3298048973083496,0.01065757218748331,1.5300110578536987
2010-05-03,1.3199926614761353,0.010560554452240467,1.524924874305725
2010-05-04,1.2963947057724,0.01055854745209217,1.5127906799316406
2010-05-05,1.2814927101135254,0.010663140565156937,1.5097986459732056
2010-05-06,1.263296127319336,0.0110095776617527,1.4863920211791992
2010-05-07,1.2756078243255615,0.010919414460659027,1.4783058166503906
2010-05-10,1.2779226303100586,0.01073191687464714,1.4861931800842285
2010-05-11,1.2629930973052979,0.01081197988241911,1.4920918941497803
2010-05-12,1.2639029026031494,0.010733183473348618,1.483701467514038
2010-05-13,1.2541072368621826,0.010778533294796944,1.4613901376724243
2010-05-14,1.2360023260116577,0.010815488174557686,1.4538053274154663
2010-05-17,1.2392956018447876,0.010804969817399979,1.4480162858963013
2010-05-18,1.217893362045288,0.0108812740072608,1.4296742677688599
2010-05-19,1.2393416166305542,0.010924185626208782,1.4416700601577759
2010-05-20,1.2478941679000854,0.011189436540007591,1.4348437786102295
2010-05-21,1.2567076683044434,0.011112839914858341,1.4481000900268555
2010-05-24,1.234994888305664,0.01108770351856947,1.4409013986587524
2010-05-25,1.2345983982086182,0.01107027381658554,1.4415037631988525
2010-05-26,1.217300295829773,0.011114816181361675,1.4383935928344727
2010-05-27,1.2347966432571411,0.011003642342984676,1.4560492038726807
2010-05-28,1.227400541305542,0.010982735082507133,1.4452955722808838
2010-05-31,1.2287880182266235,0.010966114699840546,1.4522007703781128
2010-06-01,1.2233014106750488,0.010976948775351048,1.4667057991027832
2010-06-02,1.223900318145752,0.010847163386642933,1.46500825881958
2010-06-03,1.216944694519043,0.01079645473510027,1.4634003639221191
2010-06-04,1.1971030235290527,0.010883761569857597,1.445797085762024
2010-06-07,1.1922929286956787,0.010927051305770874,1.4474084377288818
2010-06-08,1.197203278541565,0.010939721949398518,1.4448988437652588
2010-06-09,1.1991989612579346,0.010945110581815243,1.4547992944717407
2010-06-10,1.2109030485153198,0.010951823554933071,1.470847725868225
2010-06-11,1.2114017009735107,0.01091464702039957,1.4552016258239746
2010-06-14,1.2218068838119507,0.01091464702039957,1.4736003875732422
2010-06-15,1.2319064140319824,0.010932068340480328,1.4799906015396118
2010-06-16,1.2311935424804688,0.01094139739871025,1.4736003875732422
2010-06-17,1.238206148147583,0.0110083669424057,1.4815912246704102
2010-06-18,1.2392956018447876,0.01102535892277956,1.4829974174499512
2010-06-21,1.2316029071807861,0.010989614762365818,1.4759929180145264
2010-06-22,1.2275059223175049,0.011044842191040516,1.482008457183838
2010-06-23,1.2319064140319824,0.011122233234345913,1.4968043565750122
2010-06-24,1.2337453365325928,0.011156979016959667,1.4932059049606323
2010-06-25,1.2373021841049194,0.011217049323022366,1.5067956447601318
2010-06-28,1.2277017831802368,0.011196577921509743,1.509889841079712
2010-06-29,1.2186353206634521,0.011280442588031292,1.5053439140319824
2010-06-30,1.223002314567566,0.011308379471302032,1.4944332838058472
2010-07-01,1.2507504224777222,0.01141552533954382,1.5165761709213257
2010-07-02,1.257102608680725,0.01139081921428442,1.5204963684082031
2010-07-05,1.2536983489990234,0.011412268504500389,1.5132026672363281
2010-07-06,1.262403130531311,0.01143118366599083,1.5143942832946777
2010-07-07,1.2633121013641357,0.01140510942786932,1.5178422927856445
2010-07-08,1.2694060802459717,0.011310936883091927,1.5154958963394165
2010-07-09,1.2643983364105225,0.011290504597127438,1.5067956447601318
2010-07-12,1.2590018510818481,0.011281715705990791,1.5024038553237915
