;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;18;4,50;0,30;4,00;;5,25;;5,50
;;17;4,50;0,30;4,00;;5,25;;5,50
;;16;4,50;0,30;4,00;;5,25;;5,50
;;13;4,50;0,30;4,00;;5,25;;5,50
;;12;4,50;0,30;4,00;;5,25;;5,50
;;11;4,50;0,30;4,00;;5,25;;5,50
;;10;4,50;0,30;4,00;;5,25;;5,50
;;9;4,50;0,30;4,00;;5,25;;5,50
;;6;4,50;0,30;4,00;;5,25;;5,50
;;5;4,50;0,30;4,00;;5,25;;5,50
;;4;4,50;0,30;4,00;;5,25;;5,50
;;3;4,50;0,30;4,00;;5,25;;5,50
;;2;4,50;0,30;4,00;;5,25;;5,50
;;;4,50;0,30;4,00;;5,25;;5,50
;Sep;29;4,50;0,30;4,00;;5,25;;5,50
;;28;4,50;0,30;4,00;;5,25;;5,50
;;27;4,50;0,30;4,00;;5,25;;5,50
;;26;4,50;0,30;3,75;;5,25;;5,50
;;25;4,50;0,30;3,75;;5,25;;5,50
;;22;4,50;0,30;3,75;;5,25;;5,50
;;21;4,50;0,30;3,75;;5,25;;5,50
;;20;4,50;0,30;3,75;;5,25;;5,50
;;19;4,25;0,30;3,75;;5,25;;5,50
;;18;4,25;0,30;3,75;;5,25;;5,50
;;15;4,25;0,30;3,75;;5,25;;5,50
;;14;4,25;0,30;3,75;;;;5,50
;;13;4,25;0,30;3,75;;5,25;;5,50
;;12;4,25;0,30;3,75;;5,25;;5,50
;;11;4,25;0,30;3,75;;5,25;;5,50
;;8;4,25;0,30;3,75;;5,25;;5,50
;;7;4,25;0,30;3,75;;5,25;;5,50
;;6;4,25;0,30;3,75;;5,25;;5,50
;;5;4,25;0,30;3,75;;5,25;;5,50
;;4;4,25;0,30;3,75;;5,25;;5,50
;;1;4,25;0,30;3,75;;5,25;;5,50
;;;4,50;0,30;4,00;;5,25;;5,50
;Aug;31;4,25;0,30;3,75;;5,25;;5,50
;;30;4,25;0,30;3,75;;5,25;;5,50
;;29;4,25;0,30;3,75;;5,25;;5,50
;;28;4,25;0,30;3,75;;5,25;;5,50
;;25;4,25;0,30;3,75;;5,25;;5,50
;;24;4,25;0,30;3,75;;5,25;;5,50
;;23;4,25;0,30;3,75;;5,25;;5,50
;;22;4,25;0,30;3,75;;5,25;;5,50
;;21;4,25;0,30;3,75;;5,25;;5,50
;;18;4,25;0,30;3,75;;5,25;;5,50
;;17;4,25;0,30;3,75;;5,25;;5,50
;;16;4,25;0,30;3,75;;5,25;;5,50
;;15;4,25;0,30;3,75;;5,25;;5,50
;;14;4,25;0,30;3,75;;5,25;;5,50
;;11;4,25;0,30;3,75;;5,25;;5,50
;;10;4,25;0,30;3,75;;5,25;;5,50
;;9;4,25;0,30;3,75;;5,25;;5,50
;;8;4,25;0,30;3,75;;5,25;;5,50
;;7;4,25;0,30;3,75;;5,25;;5,50
;;4;4,25;0,30;3,75;;5,25;;5,50
;;3;4,25;0,30;3,75;;5,25;;5,50
;;2;4,25;0,30;3,75;;5,00;;5,50
;;1;4,00;0,30;3,75;;5,00;;5,50
;;;4,25;0,30;3,75;;5,25;;5,50
;Jul;31;4,00;0,30;3,75;;5,00;;5,50
;;28;4,00;0,30;3,75;;5,00;;5,50
;;27;4,00;0,30;3,75;;5,00;;5,50
;;26;4,00;0,30;3,75;;5,00;;5,50
;;25;4,00;0,30;3,75;;5,00;;5,25
;;24;4,00;0,30;3,75;;5,00;;5,25
;;21;4,00;0,30;3,75;;5,00;;5,25
;;20;4,00;0,30;3,75;;5,00;;5,25
;;19;4,00;0,30;3,75;;5,00;;5,25
;;18;4,00;0,30;3,75;;5,00;;5,25
;;17;4,00;0,30;3,75;;5,00;;5,25
;;14;4,00;0,30;3,75;;5,00;;5,25
;;13;4,00;0,30;3,75;;5,00;;5,25
;;12;4,00;0,30;3,75;;5,00;;5,25
;;11;4,00;0,30;3,75;;5,00;;5,25
;;10;4,00;0,30;3,75;;5,00;;5,25
;;7;4,00;0,30;3,75;;5,00;;5,25
;;6;4,00;0,30;3,75;;5,00;;5,25
;;5;4,00;0,30;3,75;;5,00;;5,25
;;4;4,00;0,30;3,50;;5,00;;5,25
;;3;4,00;0,30;3,50;;5,00;;5,25
;;;4,00;0,30;3,75;;5,00;;5,50
;Jun;30;4,00;0,30;3,50;;5,00;;5,25
;;29;4,00;0,30;3,50;;5,00;;5,25
;;28;4,00;0,30;3,50;;5,00;;5,25
;;27;4,00;0,30;3,50;;5,00;;5,25
;;26;4,00;0,30;3,50;;5,00;;5,25
;;23;4,00;0,30;;;5,00;;5,25
;;22;4,00;0,30;3,50;;5,00;;5,25
;;21;4,00;0,30;3,50;;4,50;;5,25
;;20;3,75;0,30;3,50;;4,50;;5,25
;;19;3,75;0,30;3,50;;4,50;;5,25
;;16;3,75;0,30;3,50;;4,50;;5,25
;;15;3,75;0,30;3,50;;4,50;;5,25
;;14;3,75;0,30;3,50;;4,50;;5,25
;;13;3,75;0,30;3,50;;4,50;;5,25
;;12;3,75;0,30;3,50;;4,50;;5,25
;;9;3,75;0,30;3,50;;4,50;;5,25
;;8;3,75;0,30;3,50;;4,50;;5,25
;;7;3,75;0,30;3,50;;4,50;;5,25
;;6;3,75;0,30;;;4,50;;5,25
;;5;3,75;0,30;3,50;;4,50;;5,25
;;2;3,75;0,30;3,50;;4,50;;5,25
;;1;3,75;0,30;3,50;;4,50;;5,25
;;;4,00;0,30;3,50;;5,00;;5,25
;May;31;3,75;0,30;3,50;;4,50;;5,25
;;30;3,75;0,30;3,50;;4,50;;5,25
;;29;3,75;0,30;3,50;;4,50;;5,25
;;26;3,75;0,30;3,50;;4,50;;5,25
;;25;3,75;0,30;3,50;;4,50;;5,25
;;24;3,75;0,30;3,50;;4,50;;5,25
;;23;3,75;0,30;3,50;;4,50;;5,25
;;22;3,75;0,30;3,50;;4,50;;5,25
;;19;3,75;0,30;3,50;;4,50;;5,25
;;18;3,75;0,30;;;4,50;;5,25
;;17;3,75;0,30;3,50;;4,50;;5,25
;;16;3,75;0,30;3,50;;4,50;;5,25
;;15;3,75;0,30;3,50;;4,50;;5,25
;;12;3,75;0,30;3,50;;4,50;;5,25
;;11;3,75;0,30;3,50;;4,50;;5,25
;;10;3,75;0,30;3,50;;4,25;;5,25
;;9;3,50;0,30;3,50;;4,25;;5,25
;;8;3,50;0,30;3,50;;4,25;;5,25
;;5;3,50;0,30;3,50;;4,25;;5,25
;;4;3,50;0,30;3,50;;4,25;;5,25
;;3;3,50;0,30;3,50;;4,25;;5,25
;;2;3,50;0,30;3,00;;4,25;;5,00
;;1;;0,30;;;4,25;;5,00
;;;3,75;0,30;3,50;;4,50;;5,25
;Apr;28;3,50;0,30;3,00;;4,25;;5,00
