;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Period;;;Minimum bid rate in the Eurosystem's main refinancing operations (1);Japan: uncollateralized overnight call rate (2);Sweden: repo rate;;United Kingdom: repo rate;;US fed funds target rate
;;7;0,00;0,30;-0,50;;0,75;;2,50
;;4;0,00;0,30;-0,50;;0,75;;2,50
;;3;0,00;0,30;-0,50;;0,75;;2,50
;;2;0,00;0,30;-0,50;;0,75;;2,50
;;1;;0,30;;;0,75;;2,50
;;;0,00;0,30;-0,25;;0,75;;2,50
2018;Dec;31;0,00;;;;0,75;;2,50
;;28;0,00;0,30;-0,50;;0,75;;2,50
;;27;0,00;0,30;-0,50;;0,75;;2,50
;;26;;0,30;;;0,75;;2,50
;;25;;0,30;;;0,75;;2,50
;;24;0,00;0,30;;;0,75;;2,50
;;21;0,00;0,30;-0,50;;0,75;;2,50
;;20;0,00;0,30;-0,50;;0,75;;2,50
;;19;0,00;0,30;-0,50;;0,75;;2,50
;;18;0,00;0,30;-0,50;;0,75;;2,25
;;17;0,00;0,30;-0,50;;0,75;;2,25
;;14;0,00;0,30;-0,50;;0,75;;2,25
;;13;0,00;0,30;-0,50;;0,75;;2,25
;;12;0,00;0,30;-0,50;;0,75;;2,25
;;11;0,00;0,30;-0,50;;0,75;;2,25
;;10;0,00;0,30;-0,50;;0,75;;2,25
;;7;0,00;0,30;-0,50;;0,75;;2,25
;;6;0,00;0,30;-0,50;;0,75;;2,25
;;5;0,00;0,30;-0,50;;0,75;;2,25
;;4;0,00;0,30;-0,50;;0,75;;2,25
;;3;0,00;0,30;-0,50;;0,75;;2,25
;;;0,00;0,30;-0,50;;0,75;;2,50
;Nov;30;0,00;0,30;-0,50;;0,75;;2,25
;;29;0,00;0,30;-0,50;;0,75;;2,25
;;28;0,00;0,30;-0,50;;0,75;;2,25
;;27;0,00;0,30;-0,50;;0,75;;2,25
;;26;0,00;0,30;-0,50;;0,75;;2,25
;;23;0,00;0,30;-0,50;;0,75;;2,25
;;22;0,00;0,30;-0,50;;0,75;;2,25
;;21;0,00;0,30;-0,50;;0,75;;2,25
;;20;0,00;0,30;-0,50;;0,75;;2,25
;;19;0,00;0,30;-0,50;;0,75;;2,25
;;16;0,00;0,30;-0,50;;0,75;;2,25
;;15;0,00;0,30;-0,50;;0,75;;2,25
;;14;0,00;0,30;-0,50;;0,75;;2,25
;;13;0,00;0,30;-0,50;;0,75;;2,25
;;12;0,00;0,30;-0,50;;0,75;;2,25
;;9;0,00;0,30;-0,50;;0,75;;2,25
;;8;0,00;0,30;-0,50;;0,75;;2,25
;;7;0,00;0,30;-0,50;;0,75;;2,25
;;6;0,00;0,30;-0,50;;0,75;;2,25
;;5;0,00;0,30;-0,50;;0,75;;2,25
;;2;0,00;0,30;-0,50;;0,75;;2,25
;;1;0,00;0,30;-0,50;;0,75;;2,25
;;;0,00;0,30;-0,50;;0,75;;2,25
;Oct;31;0,00;0,30;-0,50;;0,75;;2,25
;;30;0,00;0,30;-0,50;;0,75;;2,25
;;29;0,00;0,30;-0,50;;0,75;;2,25
;;26;0,00;0,30;-0,50;;0,75;;2,25
;;25;0,00;0,30;-0,50;;0,75;;2,25
;;24;0,00;0,30;-0,50;;0,75;;2,25
;;23;0,00;0,30;-0,50;;0,75;;2,25
;;22;0,00;0,30;-0,50;;0,75;;2,25
;;19;0,00;0,30;-0,50;;0,75;;2,25
;;18;0,00;0,30;-0,50;;0,75;;2,25
;;17;0,00;0,30;-0,50;;0,75;;2,25
;;16;0,00;0,30;-0,50;;0,75;;2,25
;;15;0,00;0,30;-0,50;;0,75;;2,25
;;12;0,00;0,30;-0,50;;0,75;;2,25
;;11;0,00;0,30;-0,50;;0,75;;2,25
;;10;0,00;0,30;-0,50;;0,75;;2,25
;;9;0,00;0,30;-0,50;;0,75;;2,25
;;8;0,00;0,30;-0,50;;0,75;;2,25
;;5;0,00;0,30;-0,50;;0,75;;2,25
;;4;0,00;0,30;-0,50;;0,75;;2,25
;;3;0,00;0,30;-0,50;;0,75;;2,25
;;2;0,00;0,30;-0,50;;0,75;;2,25
;;1;0,00;0,30;-0,50;;0,75;;2,25
;;;0,00;0,30;-0,50;;0,75;;2,25
;Sep;28;0,00;0,30;-0,50;;0,75;;2,25
;;27;0,00;0,30;-0,50;;0,75;;2,25
;;26;0,00;0,30;-0,50;;0,75;;2,25
;;25;0,00;0,30;-0,50;;0,75;;2,00
;;24;0,00;0,30;-0,50;;0,75;;2,00
;;21;0,00;0,30;-0,50;;0,75;;2,00
;;20;0,00;0,30;-0,50;;0,75;;2,00
;;19;0,00;0,30;-0,50;;0,75;;2,00
;;18;0,00;;-0,50;;0,75;;2,00
;;17;0,00;0,30;;;;;
;;14;0,00;0,30;-0,50;;0,75;;2,00
;;13;0,00;0,30;-0,50;;0,75;;2,00
;;12;0,00;0,30;-0,50;;0,75;;2,00
;;11;0,00;0,30;-0,50;;0,75;;2,00
;;10;0,00;0,30;-0,50;;0,75;;2,00
;;7;0,00;0,30;-0,50;;0,75;;2,00
;;6;0,00;0,30;-0,50;;0,75;;2,00
;;5;0,00;0,30;-0,50;;0,75;;2,00
;;4;0,00;0,30;-0,50;;0,75;;2,00
;;3;0,00;0,30;-0,50;;0,75;;2,00
;;;0,00;0,30;-0,50;;0,75;;2,25
;Aug;31;0,00;0,30;-0,50;;0,75;;2,00
;;30;0,00;0,30;-0,50;;0,75;;2,00
;;29;0,00;0,30;-0,50;;0,75;;2,00
;;28;0,00;0,30;-0,50;;0,75;;2,00
;;27;0,00;0,30;-0,50;;0,75;;2,00
;;24;0,00;0,30;-0,50;;0,75;;2,00
;;23;0,00;0,30;-0,50;;0,75;;2,00
;;22;0,00;;-0,50;;0,75;;2,00
;;21;0,00;0,30;;;;;
;;20;0,00;0,30;-0,50;;0,75;;2,00
;;17;0,00;0,30;-0,50;;0,75;;2,00
;;16;0,00;0,30;-0,50;;0,75;;2,00
;;15;0,00;0,30;-0,50;;0,75;;2,00
;;14;0,00;0,30;-0,50;;0,75;;2,00
;;13;0,00;0,30;-0,50;;0,75;;2,00
;;10;0,00;0,30;-0,50;;0,75;;2,00
;;9;0,00;0,30;-0,50;;0,75;;2,00
;;8;0,00;0,30;-0,50;;0,75;;2,00
;;7;0,00;0,30;-0,50;;0,75;;2,00
;;6;0,00;0,30;-0,50;;0,75;;2,00
;;3;0,00;0,30;-0,50;;0,75;;2,00
;;2;0,00;0,30;-0,50;;0,75;;2,00
;;1;0,00;0,30;-0,50;;0,50;;2,00
;;;0,00;0,30;-0,50;;0,75;;2,00
;Jul;31;0,00;0,30;-0,50;;0,50;;2,00
;;30;0,00;0,30;-0,50;;0,50;;2,00
;;27;0,00;0,30;-0,50;;0,50;;2,00
;;26;0,00;0,30;-0,50;;0,50;;2,00
;;25;0,00;0,30;-0,50;;0,50;;2,00
;;24;0,00;0,30;-0,50;;0,50;;2,00
;;23;0,00;0,30;-0,50;;0,50;;2,00
;;20;0,00;0,30;-0,50;;0,50;;2,00
;;19;0,00;0,30;-0,50;;0,50;;2,00
;;18;0,00;0,30;-0,50;;0,50;;2,00
;;17;0,00;0,30;-0,50;;0,50;;2,00
;;16;0,00;0,30;-0,50;;0,50;;2,00
;;13;0,00;0,30;-0,50;;0,50;;2,00
;;12;0,00;0,30;-0,50;;0,50;;2,00
;;11;0,00;0,30;-0,50;;0,50;;2,00
;;10;0,00;0,30;-0,50;;0,50;;2,00
;;9;0,00;0,30;-0,50;;0,50;;2,00
;;6;0,00;0,30;-0,50;;0,50;;2,00
;;5;0,00;0,30;-0,50;;0,50;;2,00
;;4;0,00;0,30;-0,50;;0,50;;2,00
;;3;0,00;0,30;-0,50;;0,50;;2,00
;;2;0,00;0,30;-0,50;;0,50;;2,00
;;;0,00;0,30;-0,50;;0,50;;2,00
;Jun;29;0,00;0,30;-0,50;;0,50;;2,00
;;28;0,00;0,30;-0,50;;0,50;;2,00
;;27;0,00;0,30;-0,50;;0,50;;2,00
;;26;0,00;0,30;-0,50;;0,50;;2,00
;;25;0,00;0,30;-0,50;;0,50;;2,00
;;22;0,00;0,30;-0,50;;0,50;;2,00
;;21;0,00;0,30;-0,50;;0,50;;2,00
;;20;0,00;0,30;-0,50;;0,50;;2,00
;;19;0,00;0,30;-0,50;;0,50;;2,00
;;18;0,00;0,30;-0,50;;0,50;;2,00
;;15;0,00;0,30;-0,50;;0,50;;2,00
;;14;0,00;0,30;-0,50;;0,50;;2,00
;;13;0,00;0,30;-0,50;;0,50;;2,00
;;12;0,00;0,30;-0,50;;0,50;;1,75
;;11;0,00;;-0,50;;0,50;;1,75
;;8;0,00;0,30;-0,50;;0,50;;1,75
;;7;0,00;0,30;-0,50;;0,50;;1,75
;;6;0,00;0,30;;;0,50;;1,75
;;5;0,00;0,30;-0,50;;0,50;;1,75
;;4;0,00;0,30;-0,50;;0,50;;1,75
;;1;0,00;0,30;-0,50;;0,50;;1,75
;;;0,00;0,30;-0,50;;0,50;;2,00
;May;31;0,00;0,30;-0,50;;0,50;;1,75
;;30;0,00;0,30;-0,50;;0,50;;1,75
;;29;0,00;0,30;-0,50;;0,50;;1,75
;;28;0,00;0,30;-0,50;;0,50;;1,75
;;25;0,00;0,30;-0,50;;0,50;;1,75
;;24;0,00;0,30;-0,50;;0,50;;1,75
;;23;0,00;0,30;-0,50;;0,50;;1,75
;;22;0,00;0,30;-0,50;;0,50;;1,75
;;21;0,00;0,30;-0,50;;0,50;;1,75
;;18;0,00;0,30;-0,50;;0,50;;1,75
;;17;0,00;0,30;-0,50;;0,50;;1,75
;;16;0,00;0,30;-0,50;;0,50;;1,75
;;15;0,00;0,30;-0,50;;0,50;;1,75
;;14;0,00;0,30;-0,50;;0,50;;1,75
;;11;0,00;0,30;-0,50;;0,50;;1,75
;;10;0,00;;-0,50;;0,50;;1,75
;;9;0,00;0,30;;;;;
;;8;0,00;0,30;-0,50;;0,50;;1,75
;;7;0,00;0,30;-0,50;;0,50;;1,75
;;4;0,00;0,30;-0,50;;0,50;;1,75
;;3;0,00;0,30;-0,50;;0,50;;1,75
;;2;0,00;0,30;-0,50;;0,50;;1,75
;;1;;0,30;-0,50;;0,50;;1,75
;;;0,00;0,30;-0,50;;0,50;;1,75
;Apr;30;0,00;0,30;-0,50;;0,50;;1,75
;;27;0,00;0,30;-0,50;;0,50;;1,75
;;26;0,00;0,30;-0,50;;0,50;;1,75
;;25;0,00;0,30;-0,50;;0,50;;1,75
;;24;0,00;0,30;-0,50;;0,50;;1,75
;;23;0,00;0,30;-0,50;;0,50;;1,75
;;20;0,00;0,30;-0,50;;0,50;;1,75
;;19;0,00;0,30;-0,50;;0,50;;1,75
;;18;0,00;0,30;-0,50;;0,50;;1,75
;;17;0,00;0,30;-0,50;;0,50;;1,75
;;16;0,00;0,30;-0,50;;0,50;;1,75
;;13;0,00;0,30;-0,50;;0,50;;1,75
;;12;0,00;0,30;-0,50;;0,50;;1,75
;;11;0,00;0,30;-0,50;;0,50;;1,75
;;10;0,00;0,30;-0,50;;0,50;;1,75
;;9;0,00;0,30;-0,50;;0,50;;1,75
;;6;0,00;0,30;-0,50;;0,50;;1,75
;;5;0,00;0,30;-0,50;;0,50;;1,75
;;4;0,00;0,30;-0,50;;0,50;;1,75
;;3;0,00;0,30;-0,50;;0,50;;1,75
;;2;;0,30;-0,50;;0,50;;1,75
;;;0,00;0,30;-0,50;;0,50;;1,75
;Mar;30;;0,30;-0,50;;0,50;;1,75
;;29;0,00;0,30;-0,50;;0,50;;1,75
;;28;0,00;0,30;-0,50;;0,50;;1,75
;;27;0,00;0,30;-0,50;;0,50;;1,75
;;26;0,00;0,30;-0,50;;0,50;;1,75
;;23;0,00;0,30;-0,50;;0,50;;1,75
;;22;0,00;0,30;-0,50;;0,50;;1,75
;;21;0,00;0,30;-0,50;;0,50;;1,75
;;20;0,00;0,30;-0,50;;0,50;;1,50
;;19;0,00;0,30;-0,50;;0,50;;1,50
;;16;0,00;0,30;-0,50;;0,50;;1,50
;;15;0,00;0,30;-0,50;;0,50;;1,50
;;14;0,00;0,30;-0,50;;0,50;;1,50
;;13;0,00;0,30;-0,50;;0,50;;1,50
;;12;0,00;0,30;-0,50;;0,50;;1,50
;;9;0,00;0,30;-0,50;;0,50;;1,50
;;8;0,00;0,30;-0,50;;0,50;;1,50
;;7;0,00;0,30;-0,50;;0,50;;1,50
;;6;0,00;0,30;-0,50;;0,50;;1,50
;;5;0,00;;-0,50;;0,50;;1,50
;;2;0,00;0,30;;;;;
;;1;0,00;0,30;-0,50;;0,50;;1,50
;;;0,00;0,30;-0,50;;0,50;;1,75
;Feb;28;0,00;0,30;-0,50;;0,50;;1,50
;;27;0,00;0,30;-0,50;;0,50;;1,50
;;26;0,00;0,30;-0,50;;0,50;;1,50
;;23;0,00;0,30;-0,50;;0,50;;1,50
;;22;0,00;0,30;-0,50;;0,50;;1,50
;;21;0,00;0,30;-0,50;;0,50;;1,50
;;20;0,00;0,30;-0,50;;0,50;;1,50
;;19;0,00;0,30;-0,50;;0,50;;1,50
;;16;0,00;0,30;-0,50;;0,50;;1,50
;;15;0,00;0,30;-0,50;;0,50;;1,50
;;14;0,00;0,30;-0,50;;0,50;;1,50
;;13;0,00;0,30;-0,50;;0,50;;1,50
;;12;0,00;0,30;-0,50;;0,50;;1,50
;;9;0,00;0,30;-0,50;;0,50;;1,50
;;8;0,00;0,30;-0,50;;0,50;;1,50
;;7;0,00;0,30;-0,50;;0,50;;1,50
;;6;0,00;0,30;-0,50;;0,50;;1,50
;;5;0,00;0,30;;;0,50;;1,50
;;2;0,00;0,30;-0,50;;0,50;;1,50
;;1;0,00;0,30;-0,50;;0,50;;1,50
;;;0,00;0,30;-0,50;;0,50;;1,50
;Jan;31;0,00;0,30;-0,50;;0,50;;1,50
;;30;0,00;0,30;-0,50;;0,50;;1,50
;;29;0,00;0,30;-0,50;;0,50;;1,50
;;26;0,00;0,30;-0,50;;0,50;;1,50
;;25;0,00;0,30;-0,50;;0,50;;1,50
;;24;0,00;0,30;-0,50;;0,50;;1,50
;;23;0,00;0,30;-0,50;;0,50;;1,50
;;22;0,00;0,30;-0,50;;0,50;;1,50
;;19;0,00;0,30;-0,50;;0,50;;1,50
;;18;0,00;0,30;-0,50;;0,50;;1,50
;;17;0,00;0,30;-0,50;;0,50;;1,50
;;16;0,00;0,30;-0,50;;0,50;;1,50
;;15;0,00;0,30;-0,50;;0,50;;1,50
;;12;0,00;0,30;-0,50;;0,50;;1,50
;;11;0,00;0,30;-0,50;;0,50;;1,50
;;10;0,00;0,30;-0,50;;0,50;;1,50
;;9;0,00;0,30;-0,50;;0,50;;1,50
;;8;0,00;0,30;-0,50;;0,50;;1,50
;;5;0,00;0,30;-0,50;;0,50;;1,50
;;4;0,00;0,30;-0,50;;0,50;;1,50
;;3;0,00;0,30;-0,50;;0,50;;1,50
;;2;0,00;0,30;-0,50;;0,50;;1,50
;;1;;0,30;-0,50;;0,50;;1,50
;;;0,00;0,30;-0,50;;0,50;;1,50
2017;Dec;29;0,00;;-0,50;;0,50;;1,50
;;28;0,00;0,30;-0,50;;0,50;;1,50
;;27;0,00;0,30;-0,50;;0,50;;1,50
;;26;;0,30;-0,50;;0,50;;1,50
;;25;;0,30;-0,50;;0,50;;1,50
;;22;0,00;0,30;-0,50;;0,50;;1,50
;;21;0,00;0,30;-0,50;;0,50;;1,50
;;20;0,00;0,30;-0,50;;0,50;;1,50
;;19;0,00;0,30;-0,50;;0,50;;1,50
;;18;0,00;0,30;-0,50;;0,50;;1,50
;;15;0,00;0,30;-0,50;;0,50;;1,50
;;14;0,00;;-0,50;;0,50;;1,50
;;13;0,00;0,30;;;;;
;;12;0,00;0,30;-0,50;;0,50;;1,25
;;11;0,00;0,30;-0,50;;0,50;;1,25
;;8;0,00;0,30;-0,50;;0,50;;1,25
;;7;0,00;0,30;-0,50;;0,50;;1,25
;;6;0,00;0,30;-0,50;;0,50;;1,25
;;5;0,00;0,30;-0,50;;0,50;;1,25
;;4;0,00;0,30;-0,50;;0,50;;1,25
;;1;0,00;0,30;-0,50;;0,50;;1,25
;;;0,00;0,30;-0,50;;0,50;;1,50
;Nov;30;0,00;0,30;-0,50;;0,50;;1,25
;;29;0,00;0,30;-0,50;;0,50;;1,25
;;28;0,00;0,30;-0,50;;0,50;;1,25
;;27;0,00;0,30;-0,50;;0,50;;1,25
;;24;0,00;0,30;-0,50;;0,50;;1,25
;;23;0,00;0,30;-0,50;;0,50;;1,25
;;22;0,00;0,30;-0,50;;0,50;;1,25
;;21;0,00;0,30;-0,50;;0,50;;1,25
;;20;0,00;0,30;-0,50;;0,50;;1,25
;;17;0,00;0,30;-0,50;;0,50;;1,25
;;16;0,00;0,30;-0,50;;0,50;;1,25
;;15;0,00;0,30;-0,50;;0,50;;1,25
;;14;0,00;0,30;-0,50;;0,50;;1,25
;;13;0,00;0,30;-0,50;;0,50;;1,25
;;10;0,00;0,30;-0,50;;0,50;;1,25
;;9;0,00;0,30;-0,50;;0,50;;1,25
;;8;0,00;0,30;-0,50;;0,50;;1,25
;;7;0,00;0,30;-0,50;;0,50;;1,25
;;6;0,00;0,30;-0,50;;0,50;;1,25
;;3;0,00;;-0,50;;0,50;;1,25
;;2;0,00;0,30;-0,50;;0,50;;1,25
;;1;0,00;0,30;-0,50;;0,25;;1,25
;;;0,00;0,30;-0,50;;0,50;;1,25
;Oct;31;0,00;0,30;-0,50;;0,25;;1,25
;;30;0,00;0,30;-0,50;;0,25;;1,25
;;27;0,00;0,30;-0,50;;0,25;;1,25
;;26;0,00;0,30;-0,50;;0,25;;1,25
;;25;0,00;0,30;-0,50;;0,25;;1,25
;;24;0,00;0,30;-0,50;;0,25;;1,25
;;23;0,00;0,30;-0,50;;0,25;;1,25
;;20;0,00;0,30;-0,50;;0,25;;1,25
;;19;0,00;0,30;-0,50;;0,25;;1,25
;;18;0,00;0,30;-0,50;;0,25;;1,25
;;17;0,00;0,30;-0,50;;0,25;;1,25
;;16;0,00;0,30;-0,50;;0,25;;1,25
;;13;0,00;0,30;-0,50;;0,25;;1,25
;;12;0,00;0,30;-0,50;;0,25;;1,25
;;11;0,00;0,30;-0,50;;0,25;;1,25
;;10;0,00;0,30;-0,50;;0,25;;1,25
;;9;0,00;0,30;-0,50;;0,25;;1,25
;;6;0,00;0,30;-0,50;;0,25;;1,25
;;5;0,00;0,30;-0,50;;0,25;;1,25
;;4;0,00;0,30;-0,50;;0,25;;1,25
;;3;0,00;0,30;-0,50;;0,25;;1,25
;;2;0,00;0,30;-0,50;;0,25;;1,25
;;;0,00;0,30;-0,50;;0,25;;1,25
;Sep;29;0,00;0,30;-0,50;;0,25;;1,25
;;28;0,00;0,30;-0,50;;0,25;;1,25
;;27;0,00;0,30;-0,50;;0,25;;1,25
;;26;0,00;0,30;-0,50;;0,25;;1,25
;;25;0,00;0,30;-0,50;;0,25;;1,25
;;22;0,00;0,30;-0,50;;0,25;;1,25
;;21;0,00;0,30;;;;;
;;20;0,00;0,30;-0,50;;0,25;;1,25
;;19;0,00;0,30;-0,50;;0,25;;1,25
;;18;0,00;0,30;-0,50;;0,25;;1,25
;;15;0,00;0,30;-0,50;;0,25;;1,25
;;14;0,00;0,30;-0,50;;0,25;;1,25
;;13;0,00;0,30;-0,50;;0,25;;1,25
;;12;0,00;0,30;-0,50;;0,25;;1,25
;;11;0,00;0,30;-0,50;;0,25;;1,25
;;8;0,00;0,30;-0,50;;0,25;;1,25
;;7;0,00;0,30;-0,50;;0,25;;1,25
;;6;0,00;0,30;-0,50;;0,25;;1,25
;;5;0,00;0,30;-0,50;;0,25;;1,25
;;4;0,00;0,30;-0,50;;0,25;;1,25
;;1;0,00;0,30;-0,50;;0,25;;1,25
;;;0,00;0,30;-0,50;;0,25;;1,25
;Aug;31;0,00;0,30;-0,50;;0,25;;1,25
;;30;0,00;0,30;-0,50;;0,25;;1,25
;;29;0,00;0,30;-0,50;;0,25;;1,25
;;28;0,00;0,30;-0,50;;0,25;;1,25
;;25;0,00;0,30;-0,50;;0,25;;1,25
;;24;0,00;0,30;-0,50;;0,25;;1,25
;;23;0,00;0,30;-0,50;;0,25;;1,25
;;22;0,00;0,30;-0,50;;0,25;;1,25
;;21;0,00;0,30;-0,50;;0,25;;1,25
;;18;0,00;0,30;-0,50;;0,25;;1,25
;;17;0,00;0,30;-0,50;;0,25;;1,25
;;16;0,00;0,30;-0,50;;0,25;;1,25
;;15;0,00;0,30;-0,50;;0,25;;1,25
;;14;0,00;0,30;-0,50;;0,25;;1,25
;;11;0,00;0,30;-0,50;;0,25;;1,25
;;10;0,00;0,30;-0,50;;0,25;;1,25
;;9;0,00;0,30;-0,50;;0,25;;1,25
;;8;0,00;0,30;-0,50;;0,25;;1,25
;;7;0,00;0,30;-0,50;;0,25;;1,25
;;4;0,00;0,30;-0,50;;0,25;;1,25
;;3;0,00;0,30;-0,50;;0,25;;1,25
;;2;0,00;0,30;-0,50;;0,25;;1,25
;;1;0,00;0,30;-0,50;;0,25;;1,25
;;;0,00;0,30;-0,50;;0,25;;1,25
;Jul;31;0,00;0,30;-0,50;;0,25;;1,25
;;28;0,00;0,30;-0,50;;0,25;;1,25
;;27;0,00;0,30;-0,50;;0,25;;1,25
;;26;0,00;0,30;-0,50;;0,25;;1,25
;;25;0,00;0,30;-0,50;;0,25;;1,25
;;24;0,00;0,30;-0,50;;0,25;;1,25
;;21;0,00;0,30;-0,50;;0,25;;1,25
;;20;0,00;0,30;-0,50;;0,25;;1,25
;;19;0,00;0,30;-0,50;;0,25;;1,25
;;18;0,00;0,30;-0,50;;0,25;;1,25
;;17;0,00;0,30;-0,50;;0,25;;1,25
;;14;0,00;0,30;-0,50;;0,25;;1,25
;;13;0,00;0,30;-0,50;;0,25;;1,25
;;12;0,00;0,30;-0,50;;0,25;;1,25
;;11;0,00;0,30;-0,50;;0,25;;1,25
;;10;0,00;0,30;-0,50;;0,25;;1,25
;;7;0,00;0,30;-0,50;;0,25;;1,25
;;6;0,00;0,30;-0,50;;0,25;;1,25
;;5;0,00;0,30;-0,50;;0,25;;1,25
;;4;0,00;0,30;-0,50;;0,25;;1,25
;;3;0,00;0,30;-0,50;;0,25;;1,25
;;;0,00;0,30;-0,50;;0,25;;1,25
;Jun;30;0,00;0,30;-0,50;;0,25;;1,25
;;29;0,00;0,30;;;;;
;;28;0,00;0,30;-0,50;;0,25;;1,25
;;27;0,00;0,30;-0,50;;0,25;;1,25
;;26;0,00;0,30;-0,50;;0,25;;1,25
;;23;;0,30;-0,50;;0,25;;1,25
;;22;0,00;0,30;;;;;
;;21;0,00;0,30;-0,50;;0,25;;1,25
;;20;0,00;0,30;-0,50;;0,25;;1,25
;;19;0,00;0,30;-0,50;;0,25;;1,25
;;16;0,00;0,30;-0,50;;0,25;;1,25
;;15;0,00;0,30;-0,50;;0,25;;1,25
;;14;0,00;0,30;-0,50;;0,25;;1,25
;;13;0,00;0,30;-0,50;;0,25;;1,00
;;12;0,00;0,30;-0,50;;0,25;;1,00
;;9;0,00;0,30;-0,50;;0,25;;1,00
;;8;0,00;0,30;-0,50;;0,25;;1,00
;;7;0,00;0,30;-0,50;;0,25;;1,00
;;6;0,00;0,30;-0,50;;0,25;;1,00
;;5;0,00;0,30;-0,50;;0,25;;1,00
;;2;0,00;0,30;-0,50;;0,25;;1,00
;;1;0,00;0,30;-0,50;;0,25;;1,00
;;;0,00;0,30;-0,50;;0,25;;1,25
;May;31;0,00;0,30;-0,50;;0,25;;1,00
;;30;0,00;0,30;-0,50;;0,25;;1,00
;;29;0,00;0,30;-0,50;;0,25;;1,00
;;26;0,00;0,30;-0,50;;0,25;;1,00
;;25;0,00;0,30;-0,50;;0,25;;1,00
;;24;0,00;0,30;-0,50;;0,25;;1,00
;;23;0,00;0,30;-0,50;;0,25;;1,00
;;22;0,00;0,30;-0,50;;0,25;;1,00
;;19;0,00;0,30;-0,50;;0,25;;1,00
;;18;0,00;0,30;-0,50;;0,25;;1,00
;;17;0,00;0,30;-0,50;;0,25;;1,00
;;16;0,00;0,30;-0,50;;0,25;;1,00
;;15;0,00;0,30;-0,50;;0,25;;1,00
;;12;0,00;0,30;-0,50;;0,25;;1,00
;;11;0,00;0,30;-0,50;;0,25;;1,00
;;10;0,00;0,30;-0,50;;0,25;;1,00
;;9;0,00;0,30;-0,50;;0,25;;1,00
;;8;0,00;0,30;-0,50;;0,25;;1,00
;;5;0,00;0,30;-0,50;;0,25;;1,00
;;4;0,00;0,30;;;;;
;;3;0,00;0,30;-0,50;;0,25;;1,00
;;2;0,00;0,30;-0,50;;0,25;;1,00
;;1;;0,30;-0,50;;0,25;;1,00
;;;0,00;0,30;-0,50;;0,25;;1,00
;Apr;28;0,00;0,30;-0,50;;0,25;;1,00
;;27;0,00;0,30;-0,50;;0,25;;1,00
;;26;0,00;0,30;-0,50;;0,25;;1,00
;;25;0,00;0,30;-0,50;;0,25;;1,00
;;24;0,00;0,30;-0,50;;0,25;;1,00
;;21;0,00;0,30;-0,50;;0,25;;1,00
;;20;0,00;0,30;-0,50;;0,25;;1,00
;;19;0,00;0,30;-0,50;;0,25;;1,00
;;18;0,00;0,30;-0,50;;0,25;;1,00
;;17;;0,30;-0,50;;0,25;;1,00
;;14;;0,30;-0,50;;;;1,00
;;13;0,00;0,30;-0,50;;0,25;;1,00
;;12;0,00;0,30;-0,50;;0,25;;1,00
;;11;0,00;0,30;-0,50;;0,25;;1,00
;;10;0,00;0,30;-0,50;;0,25;;1,00
;;7;0,00;0,30;-0,50;;0,25;;1,00
;;6;0,00;0,30;-0,50;;0,25;;1,00
;;5;0,00;0,30;-0,50;;0,25;;1,00
;;4;0,00;0,30;-0,50;;0,25;;1,00
;;3;0,00;0,30;-0,50;;0,25;;1,00
;;;0,00;0,30;-0,50;;0,25;;1,00
;Mar;31;0,00;0,30;-0,50;;0,25;;1,00
;;30;0,00;0,30;-0,50;;0,25;;1,00
;;29;0,00;0,30;-0,50;;0,25;;1,00
;;28;0,00;0,30;-0,50;;0,25;;1,00
;;27;0,00;0,30;-0,50;;0,25;;1,00
;;24;0,00;0,30;-0,50;;0,25;;1,00
;;23;0,00;0,30;-0,50;;0,25;;1,00
;;22;0,00;0,30;-0,50;;0,25;;1,00
;;21;0,00;0,30;-0,50;;0,25;;1,00
;;20;0,00;0,30;-0,50;;0,25;;1,00
;;17;0,00;0,30;-0,50;;0,25;;1,00
;;16;0,00;0,30;-0,50;;0,25;;1,00
;;15;0,00;0,30;-0,50;;0,25;;1,00
;;14;0,00;0,30;-0,50;;0,25;;0,75
;;13;0,00;0,30;-0,50;;0,25;;0,75
;;10;0,00;0,30;-0,50;;0,25;;0,75
;;9;0,00;0,30;-0,50;;0,25;;0,75
;;8;0,00;0,30;-0,50;;0,25;;0,75
;;7;0,00;0,30;-0,50;;0,25;;0,75
;;6;0,00;0,30;-0,50;;0,25;;0,75
;;3;0,00;0,30;-0,50;;0,25;;0,75
;;2;0,00;0,30;-0,50;;0,25;;0,75
;;1;0,00;0,30;-0,50;;0,25;;0,75
;;;0,00;0,30;-0,50;;0,25;;1,00
;Feb;28;0,00;0,30;-0,50;;0,25;;0,75
;;27;0,00;0,30;-0,50;;0,25;;0,75
;;24;0,00;0,30;-0,50;;0,25;;0,75
;;23;0,00;0,30;-0,50;;0,25;;0,75
;;22;0,00;0,30;-0,50;;0,25;;0,75
;;21;0,00;;-0,50;;0,25;;0,75
;;20;0,00;0,30;;;;;
;;17;0,00;0,30;-0,50;;0,25;;0,75
;;16;0,00;0,30;-0,50;;0,25;;0,75
;;15;0,00;0,30;-0,50;;0,25;;0,75
;;14;0,00;0,30;-0,50;;0,25;;0,75
;;13;0,00;;-0,50;;0,25;;0,75
;;10;0,00;0,30;-0,50;;0,25;;0,75
