,date,sp500,cpi,gdp,nasdaq,unrate,usdeur,usdgbp
2015,2022-02-16,4475.009765625,284.535,25029.116,14600.0,3.8,0.8733000159263611,0.7481399774551392
2016,2022-02-17,4380.259765625,284.535,25029.116,14164.75,3.8,0.8740000128746033,0.7453200221061707
2017,2022-02-18,4348.8701171875,284.535,25029.116,13996.0,3.8,0.8797799944877625,0.7458000183105469
2018,2022-02-22,4304.759765625,284.535,25029.116,13862.75,3.8,0.8833000063896179,0.7448999881744385
2019,2022-02-23,4225.5,284.535,25029.116,13507.5,3.8,0.8833000063896179,0.7411999702453613
2020,2022-02-24,4288.7001953125,284.535,25029.116,13966.5,3.8,0.8796300292015076,0.7407600283622742
2021,2022-02-25,4384.64990234375,284.535,25029.116,14180.5,3.8,0.8868600130081177,0.744350016117096
2022,2022-02-28,4373.93994140625,284.535,25029.116,14228.0,3.8,0.8895099759101868,0.746399998664856
2023,2022-03-01,4306.259765625,287.553,25029.116,14005.5,3.6,0.8892899751663208,0.7476099729537964
2024,2022-03-02,4386.5400390625,287.553,25029.116,14239.25,3.6,0.8926200270652771,0.7501500248908997
2025,2022-03-03,4363.490234375,287.553,25029.116,14030.5,3.6,0.8920900225639343,0.7510799765586853
2026,2022-03-04,4328.8701171875,287.553,25029.116,13839.75,3.6,0.8854900002479553,0.7495700120925903
2027,2022-03-07,4201.08984375,287.553,25029.116,13320.75,3.6,0.8854699730873108,0.7510300278663635
2028,2022-03-08,4170.7001953125,287.553,25029.116,13267.0,3.6,0.8825899958610535,0.7521100044250488
2029,2022-03-09,4277.8798828125,287.553,25029.116,13734.75,3.6,0.883430004119873,0.7530120015144348
2030,2022-03-10,4259.52001953125,287.553,25029.116,13586.0,3.6,0.8844699859619141,0.7518799901008606
2031,2022-03-11,4204.31005859375,287.553,25029.116,13292.0,3.6,0.8845800161361694,0.7554399967193604
2032,2022-03-14,4173.10986328125,287.553,25029.116,13045.5,3.6,0.8859999775886536,0.7538999915122986
2033,2022-03-15,4262.4501953125,287.553,25029.116,13451.75,3.6,0.8867999911308289,0.7549399733543396
2034,2022-03-16,4357.85986328125,287.553,25029.116,13953.0,3.6,0.8813999891281128,0.7570000290870667
2035,2022-03-17,4411.669921875,287.553,25029.116,14111.75,3.6,0.8854799866676331,0.7562000155448914
2036,2022-03-18,4463.1201171875,287.553,25029.116,14095.3095703125,3.6,0.8840299844741821,0.7543100118637085
2037,2022-03-21,4461.18017578125,287.553,25029.116,14370.5,3.6,0.8860999941825867,0.7567999958992004
2038,2022-03-22,4511.60986328125,287.553,25029.116,14654.0,3.6,0.8880000114440918,0.7558289766311646
2039,2022-03-23,4456.240234375,287.553,25029.116,14447.0,3.6,0.8856800198554993,0.7539700269699097
2040,2022-03-24,4520.16015625,287.553,25029.116,14763.75,3.6,0.8822900056838989,0.750540018081665
2041,2022-03-25,4543.06005859375,287.553,25029.116,14755.75,3.6,0.8894000053405762,0.7558900117874146
2042,2022-03-28,4575.52001953125,287.553,25029.116,14985.25,3.6,0.8867200016975403,0.7570019960403442
2043,2022-03-29,4631.60009765625,287.553,25029.116,15237.75,3.6,0.8859300017356873,0.753600001335144
2044,2022-03-30,4602.4501953125,287.553,25029.116,15071.5,3.6,0.8827000260353088,0.7489500045776367
2045,2022-03-31,4530.41015625,287.553,25029.116,14868.75,3.6,0.8828200101852417,0.7458999752998352
