,date,sp500,cpi,nasdaq,gdp,unrate,usdeur,usdgbp
640,2016-08-31,2170.949951171875,240.545,4773.75,18892.639,4.9,0.8954100012779236,0.7566400170326233
641,2016-09-01,2170.860107421875,241.176,4777.5,18892.639,5.0,0.8954100012779236,0.7584099769592285
642,2016-09-02,2179.97998046875,241.176,4795.25,18892.639,5.0,0.8913400173187256,0.749750018119812
643,2016-09-06,2186.47998046875,241.176,4827.5,18892.639,5.0,0.8967400193214417,0.7502999901771545
644,2016-09-07,2186.159912109375,241.176,4828.75,18892.639,5.0,0.8980900049209595,0.7616599798202515
645,2016-09-08,2181.300048828125,241.176,4796.0,18892.639,5.0,0.9017500281333924,0.7641900181770325
646,2016-09-09,2127.81005859375,241.176,4671.0,18892.639,5.0,0.9022300243377686,0.7673199772834778
647,2016-09-12,2159.0400390625,241.176,4766.75,18892.639,5.0,0.899619996547699,0.768809974193573
648,2016-09-13,2127.02001953125,241.176,4727.75,18892.639,5.0,0.8939399719238281,0.7680400013923645
649,2016-09-14,2125.77001953125,241.176,4732.5,18892.639,5.0,0.8977400064468384,0.7719100117683411
650,2016-09-15,2147.260009765625,241.176,4817.75,18892.639,5.0,0.8955000042915344,0.7746000289916992
651,2016-09-16,2139.159912109375,241.176,4817.0,18892.639,5.0,0.8941299915313721,0.7762100100517273
652,2016-09-19,2139.1201171875,241.176,4794.25,18892.639,5.0,0.8868399858474731,0.7672399878501892
653,2016-09-20,2139.760009765625,241.176,4798.5,18892.639,5.0,0.8850399851799011,0.7666000127792358
654,2016-09-21,2163.1201171875,241.176,4850.0,18892.639,5.0,0.8810999989509583,0.7595000267028809
655,2016-09-22,2177.179931640625,241.176,4886.25,18892.639,5.0,0.8851000070571899,0.7659299969673157
656,2016-09-23,2164.68994140625,241.176,4856.5,18892.639,5.0,0.8834499716758728,0.7612000107765198
657,2016-09-26,2146.10009765625,241.176,4815.0,18892.639,5.0,0.8848900198936462,0.7577999830245972
658,2016-09-27,2159.929931640625,241.176,4860.75,18892.639,5.0,0.8877999782562256,0.7555999755859375
659,2016-09-28,2171.3701171875,241.176,4868.25,18892.639,5.0,0.885699987411499,0.7578999996185303
660,2016-09-29,2151.1298828125,241.176,4844.25,18892.639,5.0,0.8928999900817871,0.7616999745368958
661,2016-09-30,2168.27001953125,241.176,4870.25,18892.639,5.0,0.8934299945831299,0.7628999948501587
662,2016-10-03,2161.199951171875,241.741,4865.75,19089.379,4.9,0.8966000080108643,0.7638999819755554
663,2016-10-04,2150.489990234375,241.741,4857.5,19089.379,4.9,0.8960000276565552,0.7613999843597412
664,2016-10-05,2159.72998046875,241.741,4873.5,19089.379,4.9,0.892799973487854,0.7533000111579895
665,2016-10-06,2160.77001953125,241.741,4872.0,19089.379,4.9,0.8959000110626221,0.7522000074386597
666,2016-10-07,2153.739990234375,241.741,4859.0,19089.379,4.9,0.8966000080108643,0.7511000037193298
667,2016-10-10,2163.659912109375,241.741,,19089.379,4.9,0.8885999917984009,0.7451000213623047
668,2016-10-11,2136.72998046875,241.741,4827.0,19089.379,4.9,0.8895999789237976,0.7497000098228455
669,2016-10-12,2139.179931640625,241.741,4813.5,19089.379,4.9,0.8871999979019165,0.7512999773025513
670,2016-10-13,2132.550048828125,241.741,4796.0,19089.379,4.9,0.8895900249481201,0.7534000277519226
671,2016-10-14,2132.97998046875,241.741,4804.25,19089.379,4.9,0.8894000053405762,0.7497000098228455
672,2016-10-17,2126.5,241.741,4803.25,19089.379,4.9,0.8913699984550476,0.7578999996185303
673,2016-10-18,2139.60009765625,241.741,4827.0,19089.379,4.9,0.8891000151634216,0.7538999915122986
674,2016-10-19,2144.2900390625,241.741,4830.25,19089.379,4.9,0.8892099857330322,0.7548499703407288
675,2016-10-20,2141.340087890625,241.741,4843.75,19089.379,4.9,0.8961799740791321,0.7682700157165527
676,2016-10-21,2141.159912109375,241.741,4843.25,19089.379,4.9,0.8944000005722046,0.7666000127792358
677,2016-10-24,2151.330078125,241.741,4902.75,19089.379,4.9,0.8965399861335754,0.7700999975204468
678,2016-10-25,2143.159912109375,241.741,4886.0,19089.379,4.9,0.8934000134468079,0.7670999765396118
679,2016-10-26,2139.429931640625,241.741,4853.75,19089.379,4.9,0.89205002784729,0.7641000151634216
680,2016-10-27,2133.0400390625,241.741,4807.0,19089.379,4.9,0.889739990234375,0.7705000042915344
681,2016-10-28,2126.409912109375,241.741,4806.0,19089.379,4.9,0.8888999819755554,0.7710400223731995
682,2016-10-31,2126.14990234375,241.741,4796.75,19089.379,4.9,0.8913000226020813,0.7684999704360962
683,2016-11-01,2111.719970703125,242.026,4757.25,19089.379,4.7,0.8908699750900269,0.7669000029563904
684,2016-11-02,2097.93994140625,242.026,4716.75,19089.379,4.7,0.8913000226020813,0.771399974822998
685,2016-11-03,2088.659912109375,242.026,4674.5,19089.379,4.7,0.8901000022888184,0.7732999920845032
686,2016-11-04,2085.179931640625,242.026,4657.75,19089.379,4.7,0.8920300006866455,0.7782999873161316
687,2016-11-07,2131.52001953125,242.026,4775.75,19089.379,4.7,0.8920000195503235,0.7853999733924866
688,2016-11-08,2139.56005859375,242.026,4802.25,19089.379,4.7,0.8921999931335449,0.7839999794960022
689,2016-11-09,2163.260009765625,242.026,4820.5,19089.379,4.7,0.8973000049591064,0.8062999844551086
690,2016-11-10,2167.47998046875,242.026,4743.75,19089.379,4.7,0.8931000232696533,0.8041999936103821
691,2016-11-11,2164.449951171875,242.026,,19089.379,4.7,0.897599995136261,0.8102999925613403
692,2016-11-14,2164.199951171875,242.026,4694.5,19089.379,4.7,0.9039999842643738,0.8144000172615051
693,2016-11-15,2180.389892578125,242.026,4766.0,19089.379,4.7,0.9081100225448608,0.8205000162124634
694,2016-11-16,2176.93994140625,242.026,4783.25,19089.379,4.7,0.9049999713897704,0.8181999921798706
695,2016-11-17,2187.1201171875,242.026,4828.5,19089.379,4.7,0.9117599725723268,0.8208000063896179
696,2016-11-18,2181.89990234375,242.026,4808.5,19089.379,4.7,0.907800018787384,0.8184000253677368
697,2016-11-21,2198.179931640625,242.026,4854.0,19089.379,4.7,0.9110000133514404,0.8126999735832214
698,2016-11-22,2202.93994140625,242.026,4874.75,19089.379,4.7,0.9111499786376952,0.8137000203132629
699,2016-11-23,2204.719970703125,242.026,4849.5,19089.379,4.7,0.9148799777030944,0.8159000277519226
700,2016-11-25,2213.35009765625,242.026,4868.5,19089.379,4.7,0.9189000129699708,0.8183900117874146
701,2016-11-28,2201.719970703125,242.026,4861.0,19089.379,4.7,0.9194999933242798,0.8184999823570251
702,2016-11-29,2204.659912109375,242.026,4875.0,19089.379,4.7,0.9185000061988832,0.8213000297546387
703,2016-11-30,2198.81005859375,242.026,4816.0,19089.379,4.7,0.9164199829101562,0.817300021648407
704,2016-12-01,2191.080078125,242.637,4736.5,19089.379,4.7,0.9174000024795532,0.8216000199317932
705,2016-12-02,2191.949951171875,242.637,4738.5,19089.379,4.7,0.9103599786758424,0.8185999989509583
706,2016-12-05,2204.7099609375,242.637,4780.5,19089.379,4.7,0.911300003528595,0.8172000050544739
707,2016-12-06,2212.22998046875,242.637,4786.75,19089.379,4.7,0.9043999910354614,0.8170899748802185
708,2016-12-07,2241.35009765625,242.637,4841.75,19089.379,4.7,0.901099979877472,0.8126999735832214
709,2016-12-08,2246.18994140625,242.637,4863.0,19089.379,4.7,0.9006999731063843,0.8019999861717224
710,2016-12-09,2259.530029296875,242.637,4893.75,19089.379,4.7,0.9007999897003174,0.8007000088691711
711,2016-12-12,2256.9599609375,242.637,4867.75,19089.379,4.7,0.9047999978065492,0.8065000176429749
712,2016-12-13,2271.719970703125,242.637,4937.75,19089.379,4.7,0.9075199961662292,0.807200014591217
713,2016-12-14,2253.280029296875,242.637,4931.75,19089.379,4.7,0.9157000184059144,0.8051000237464905
714,2016-12-15,2262.030029296875,242.637,4934.5,19089.379,4.7,0.9182999730110168,0.7965999841690063
715,2016-12-16,2258.070068359375,242.637,4943.5,19089.379,4.7,0.923799991607666,0.7953000068664551
716,2016-12-19,2262.530029296875,242.637,4938.75,19089.379,4.7,0.9301999807357788,0.7986999750137329
717,2016-12-20,2270.760009765625,242.637,4956.0,19089.379,4.7,0.932200014591217,0.8027999997138977
718,2016-12-21,2265.179931640625,242.637,4949.5,19089.379,4.7,0.9340000152587892,0.8036999702453613
719,2016-12-22,2260.9599609375,242.637,4936.5,19089.379,4.7,0.941349983215332,0.8058000206947327
720,2016-12-23,2263.7900390625,242.637,4942.25,19089.379,4.7,0.9448000192642212,0.8113999962806702
721,2016-12-27,2268.8798828125,242.637,4961.25,19089.379,4.7,0.9399499893188475,0.8004000186920166
722,2016-12-28,2249.919921875,242.637,4923.75,19089.379,4.7,0.940400004386902,0.8048999905586243
723,2016-12-29,2249.260009765625,242.637,4918.5,19089.379,4.7,0.948300004005432,0.8043000102043152
724,2016-12-30,2238.830078125,242.637,4864.0,19089.379,4.7,0.9467999935150146,0.8030300140380859
725,2017-01-03,2257.830078125,243.618,4906.25,19280.084,4.7,0.942300021648407,0.8011999726295471
726,2017-01-04,2270.75,243.618,4933.5,19280.084,4.7,0.9415000081062316,0.8057000041007996
727,2017-01-05,2269.0,243.618,4962.0,19280.084,4.7,0.9391000270843506,0.8004999756813049
728,2017-01-06,2276.97998046875,243.618,5004.0,19280.084,4.7,0.944100022315979,0.7989000082015991
729,2017-01-09,2268.89990234375,243.618,5022.0,19280.084,4.7,0.9378100037574768,0.7943000197410583
730,2017-01-10,2268.89990234375,243.618,5031.25,19280.084,4.7,0.9449999928474426,0.7893999814987183
731,2017-01-11,2275.320068359375,243.618,5046.5,19280.084,4.7,0.9296000003814696,0.7856400012969971
732,2017-01-12,2270.43994140625,243.618,5034.75,19280.084,4.7,0.932799994945526,0.7892000079154968
733,2017-01-13,2274.639892578125,243.618,5061.25,19280.084,4.7,0.929199993610382,0.7918999791145325
734,2017-01-17,2267.889892578125,243.618,5040.25,19280.084,4.7,0.9415000081062316,0.7946000099182129
735,2017-01-18,2271.889892578125,243.618,5054.5,19280.084,4.7,0.948099970817566,0.7937999963760376
736,2017-01-19,2263.68994140625,243.618,5053.5,19280.084,4.7,0.9397000074386596,0.7889000177383423
737,2017-01-20,2271.31005859375,243.618,5058.25,19280.084,4.7,0.9408000111579896,0.7896999716758728
738,2017-01-23,2265.199951171875,243.618,5063.5,19280.084,4.7,0.9510999917984008,0.7975599765777588
739,2017-01-24,2280.070068359375,243.618,5096.25,19280.084,4.7,0.9598000049591064,0.8048999905586243
740,2017-01-25,2298.3701171875,243.618,5146.5,19280.084,4.7,0.9569399952888488,0.8007000088691711
741,2017-01-26,2296.679931640625,243.618,5147.75,19280.084,4.7,0.9610000252723694,0.8070999979972839
742,2017-01-27,2294.68994140625,243.618,5162.5,19280.084,4.7,0.9624199867248536,0.8087000250816345
743,2017-01-30,2280.89990234375,243.618,5124.5,19280.084,4.7,0.958899974822998,0.8094000220298767
744,2017-01-31,2278.8701171875,243.618,5112.75,19280.084,4.7,0.9580699801445008,0.8140000104904175
745,2017-02-01,2279.550048828125,244.006,5148.5,19280.084,4.6,0.9564999938011168,0.8137000203132629
746,2017-02-02,2280.85009765625,244.006,5131.0,19280.084,4.6,0.9563000202178956,0.8145999908447266
747,2017-02-03,2297.419921875,244.006,5155.0,19280.084,4.6,0.955810010433197,0.8145999908447266
748,2017-02-06,2292.56005859375,244.006,5157.75,19280.084,4.6,0.959969997406006,0.8180000185966492
749,2017-02-07,2293.080078125,244.006,5176.75,19280.084,4.6,0.9455999732017516,0.8137999773025513
750,2017-02-08,2294.669921875,244.006,5191.25,19280.084,4.6,0.949940025806427,0.8097800016403198
751,2017-02-09,2307.8701171875,244.006,5212.25,19280.084,4.6,0.9560199975967408,0.8141999840736389
752,2017-02-10,2316.10009765625,244.006,5226.75,19280.084,4.6,0.9596999883651732,0.8166199922561646
753,2017-02-13,2328.25,244.006,5259.25,19280.084,4.6,0.9523000121116638,0.811240017414093
754,2017-02-14,2337.580078125,244.006,5276.0,19280.084,4.6,0.942870020866394,0.8047999739646912
755,2017-02-15,2349.25,244.006,5310.0,19280.084,4.6,0.9495000243186952,0.8155999779701233
756,2017-02-16,2347.219970703125,244.006,5300.5,19280.084,4.6,0.9444100260734558,0.8214600086212158
757,2017-02-17,2351.159912109375,244.006,5325.75,19280.084,4.6,0.9476500153541564,0.821399986743927
758,2017-02-21,2365.3798828125,244.006,5343.75,19280.084,4.6,0.9435999989509584,0.8187000155448914
759,2017-02-22,2362.820068359375,244.006,5351.0,19280.084,4.6,0.9419000148773192,0.8220000267028809
760,2017-02-23,2363.81005859375,244.006,5332.0,19280.084,4.6,0.940850019454956,0.8306099772453308
761,2017-02-24,2367.340087890625,244.006,5343.25,19280.084,4.6,0.9431300163269044,0.8305500149726868
762,2017-02-27,2369.75,244.006,5347.5,19280.084,4.6,0.9348599910736084,0.8072299957275391
763,2017-02-28,2363.639892578125,244.006,5332.25,19280.084,4.6,0.9409300088882446,0.8156800270080566
764,2017-03-01,2395.9599609375,243.892,5386.0,19280.084,4.4,0.9381099939346312,0.810479998588562
765,2017-03-02,2381.919921875,243.892,5364.75,19280.084,4.4,0.9333800077438354,0.8072999715805054
766,2017-03-03,2383.1201171875,243.892,5372.0,19280.084,4.4,0.9293000102043152,0.7989000082015991
767,2017-03-06,2375.31005859375,243.892,5361.0,19280.084,4.4,0.9320799708366394,0.7978900074958801
768,2017-03-07,2368.389892578125,243.892,5349.75,19280.084,4.4,0.9300600290298462,0.7915099859237671
769,2017-03-08,2362.97998046875,243.892,5363.0,19280.084,4.4,0.9360700249671936,0.793940007686615
770,2017-03-09,2364.8701171875,243.892,5366.75,19280.084,4.4,0.9333599805831908,0.794160008430481
771,2017-03-10,2372.60009765625,243.892,5382.0,19280.084,4.4,0.9338300228118896,0.800000011920929
772,2017-03-13,2373.469970703125,243.892,5395.5,19280.084,4.4,0.925599992275238,0.7943000197410583
773,2017-03-14,2365.449951171875,243.892,5381.5,19280.084,4.4,0.928730010986328,0.7897999882698059
774,2017-03-15,2385.260009765625,243.892,5415.25,19280.084,4.4,0.9292200207710266,0.7987200021743774
775,2017-03-16,2381.3798828125,243.892,5413.0,19280.084,4.4,0.9273899793624878,0.801010012626648
776,2017-03-17,2378.25,243.892,5417.25,19280.084,4.4,0.9308199882507324,0.8020300269126892
777,2017-03-20,2373.469970703125,243.892,5418.5,19280.084,4.4,0.9365000128746032,0.8002399802207947
778,2017-03-21,2344.02001953125,243.892,5338.25,19280.084,4.4,0.935259997844696,0.7982100248336792
779,2017-03-22,2348.449951171875,243.892,5365.75,19280.084,4.4,0.9382100105285645,0.8001199960708618
780,2017-03-23,2345.9599609375,243.892,5354.5,19280.084,4.4,0.9416599869728088,0.8009899854660034
781,2017-03-24,2343.97998046875,243.892,5378.75,19280.084,4.4,0.943530023097992,0.7985299825668335
782,2017-03-27,2341.590087890625,243.892,5379.0,19280.084,4.4,0.945330023765564,0.8019000291824341
783,2017-03-28,2358.570068359375,243.892,5405.0,19280.084,4.4,0.9427400231361388,0.8019400238990784
784,2017-03-29,2361.1298828125,243.892,5436.0,19280.084,4.4,0.9370099902153016,0.8006899952888489
785,2017-03-30,2368.06005859375,243.892,5437.5,19280.084,4.4,0.9410300254821776,0.8042500019073486
786,2017-03-31,2362.719970703125,243.892,5438.5,19280.084,4.4,0.9425600171089172,0.8017100095748901
787,2017-04-03,2358.840087890625,244.193,5434.5,19438.643,4.4,0.9485800266265868,0.8008300065994263
788,2017-04-04,2360.159912109375,244.193,5444.0,19438.643,4.4,0.9474999904632568,0.8029699921607971
789,2017-04-05,2352.949951171875,244.193,5416.25,19438.643,4.4,0.9447799921035768,0.7964199781417847
790,2017-04-06,2357.489990234375,244.193,5422.75,19438.643,4.4,0.9476199746131896,0.8064799904823303
791,2017-04-07,2355.5400390625,244.193,5421.25,19438.643,4.4,0.9448000192642212,0.8039000034332275
792,2017-04-10,2357.159912109375,244.193,5422.25,19438.643,4.4,0.946150004863739,0.8078799843788147
793,2017-04-11,2353.780029296875,244.193,5401.75,19438.643,4.4,0.9491400122642516,0.8148499727249146
794,2017-04-12,2344.929931640625,244.193,5372.75,19438.643,4.4,0.9514999985694884,0.8146799802780151
795,2017-04-13,2328.949951171875,244.193,5359.0,19438.643,4.4,0.9415799975395204,0.8130000233650208
796,2017-04-17,2349.010009765625,244.193,5395.25,19438.643,4.4,0.9452499747276306,0.8167999982833862
797,2017-04-18,2342.18994140625,244.193,5389.25,19438.643,4.4,0.9460600018501282,0.8193699717521667
798,2017-04-19,2338.169921875,244.193,5397.75,19438.643,4.4,0.948099970817566,0.8212000131607056
799,2017-04-20,2355.840087890625,244.193,5442.75,19438.643,4.4,0.9453200101852416,0.8225499987602234
800,2017-04-21,2348.68994140625,244.193,5442.0,19438.643,4.4,0.93545001745224,0.8216000199317932
801,2017-04-24,2374.14990234375,244.193,5504.0,19438.643,4.4,0.9388399720191956,0.8192700147628784
802,2017-04-25,2388.610107421875,244.193,5548.25,19438.643,4.4,0.9422900080680848,0.8225399851799011
803,2017-04-26,2387.449951171875,244.193,5536.25,19438.643,4.4,0.9312800168991088,0.814050018787384
804,2017-04-27,2388.77001953125,244.193,5591.0,19438.643,4.4,0.9280999898910522,0.8096399903297424
805,2017-04-28,2384.199951171875,244.193,5580.5,19438.643,4.4,0.930840015411377,0.8074600100517273
806,2017-05-01,2388.330078125,244.004,5630.75,19438.643,4.4,0.9312999844551086,0.8086000084877014
807,2017-05-02,2391.169921875,244.004,5639.75,19438.643,4.4,0.9248600006103516,0.8011500239372253
808,2017-05-03,2388.1298828125,244.004,5613.25,19438.643,4.4,0.9267699718475342,0.8015999794006348
809,2017-05-04,2389.52001953125,244.004,5625.75,19438.643,4.4,0.9273099899291992,0.798799991607666
810,2017-05-05,2399.2900390625,244.004,5648.25,19438.643,4.4,0.9217000007629396,0.7990700006484985
811,2017-05-08,2399.3798828125,244.004,5655.5,19438.643,4.4,0.9207299947738647,0.7963100075721741
812,2017-05-09,2396.919921875,244.004,5676.25,19438.643,4.4,0.9244099855422974,0.8050600290298462
813,2017-05-10,2399.6298828125,244.004,5675.5,19438.643,4.4,0.9294000267982484,0.8038300275802612
814,2017-05-11,2394.43994140625,244.004,5670.75,19438.643,4.4,0.9357100129127502,0.8013799786567688
815,2017-05-12,2390.89990234375,244.004,5689.0,19438.643,4.4,0.937309980392456,0.7973999977111816
816,2017-05-15,2402.320068359375,244.004,5701.25,19438.643,4.4,0.9372000098228456,0.8004999756813049
817,2017-05-16,2400.669921875,244.004,5724.25,19438.643,4.4,0.9362999796867372,0.8038600087165833
818,2017-05-17,2357.030029296875,244.004,5578.75,19438.643,4.4,0.9369900226593018,0.8007000088691711
819,2017-05-18,2365.719970703125,244.004,5630.5,19438.643,4.4,0.9394400119781494,0.8020099997520447
820,2017-05-19,2381.72998046875,244.004,5653.25,19438.643,4.4,0.9449999928474426,0.8080700039863586
821,2017-05-22,2394.02001953125,244.004,5702.0,19438.643,4.4,0.9436100125312804,0.8047999739646912
822,2017-05-23,2398.419921875,244.004,5711.5,19438.643,4.4,0.9423900246620178,0.8004900217056274
823,2017-05-24,2404.389892578125,244.004,5731.25,19438.643,4.4,0.9371500015258788,0.7968199849128723
824,2017-05-25,2415.070068359375,244.004,5782.0,19438.643,4.4,0.9419400095939636,0.7994999885559082
825,2017-05-26,2415.820068359375,244.004,5792.25,19438.643,4.4,0.942460000514984,0.797760009765625
826,2017-05-30,2412.909912109375,244.004,5792.0,19438.643,4.4,0.9394500255584716,0.7963200211524963
827,2017-05-31,2411.800048828125,244.004,5793.25,19438.643,4.4,0.9320799708366394,0.7785400152206421
828,2017-06-01,2430.06005859375,244.163,5822.0,19438.643,4.3,0.93326997756958,0.7823299765586853
829,2017-06-02,2439.070068359375,244.163,5886.0,19438.643,4.3,0.9332799911499025,0.7811300158500671
830,2017-06-05,2436.10009765625,244.163,5880.75,19438.643,4.3,0.9196299910545348,0.7796499729156494
831,2017-06-06,2429.330078125,244.163,5863.25,19438.643,4.3,0.9204000234603882,0.7826799750328064
832,2017-06-07,2433.139892578125,244.163,5879.75,19438.643,4.3,0.9150599837303162,0.7792800068855286
833,2017-06-08,2433.7900390625,244.163,5885.0,19438.643,4.3,0.9166799783706664,0.7783100008964539
834,2017-06-09,2431.77001953125,244.163,5740.5,19438.643,4.3,0.92044997215271,0.7755799889564514
835,2017-06-12,2429.389892578125,244.163,5711.0,19438.643,4.3,0.916800022125244,0.7732999920845032
836,2017-06-13,2440.35009765625,244.163,5751.25,19438.643,4.3,0.9166799783706664,0.7753499746322632
837,2017-06-14,2437.919921875,244.163,5725.25,19438.643,4.3,0.9144399762153624,0.7727000117301941
838,2017-06-15,2432.4599609375,244.163,5702.5,19438.643,4.3,0.9183599948883056,0.7768999934196472
839,2017-06-16,2433.14990234375,244.163,5702.0,19438.643,4.3,0.9106199741363524,0.7736999988555908
840,2017-06-19,2453.4599609375,244.163,5766.0,19438.643,4.3,0.9119799733161926,0.7712699770927429
841,2017-06-20,2437.030029296875,244.163,5732.75,19438.643,4.3,0.9150999784469604,0.772599995136261
842,2017-06-21,2435.610107421875,244.163,5796.0,19438.643,4.3,0.9185400009155272,0.7722899913787842
843,2017-06-22,2434.5,244.163,5785.75,19438.643,4.3,0.9199000000953674,0.773360013961792
